V2	V(out)	V(n002)
3.340000000000000e+00	7.547355e-01	3.340000e+00
3.350000000000000e+00	7.431154e-01	3.350000e+00
3.360000000000000e+00	7.316462e-01	3.360000e+00
3.370000000000000e+00	7.203254e-01	3.370000e+00
3.380000000000000e+00	7.091505e-01	3.380000e+00
3.390000000000000e+00	6.981191e-01	3.390000e+00
3.400000000000000e+00	6.872287e-01	3.400000e+00
3.410000000000000e+00	6.764772e-01	3.410000e+00
3.420000000000000e+00	6.658622e-01	3.420000e+00
3.430000000000000e+00	6.553816e-01	3.430000e+00
3.440000000000000e+00	6.450333e-01	3.440000e+00
3.450000000000000e+00	6.348153e-01	3.450000e+00
3.460000000000000e+00	6.247255e-01	3.460000e+00
3.470000000000000e+00	6.147621e-01	3.470000e+00
3.480000000000000e+00	6.049231e-01	3.480000e+00
3.490000000000000e+00	5.952067e-01	3.490000e+00
3.500000000000000e+00	5.856112e-01	3.500000e+00
3.510000000000000e+00	5.761347e-01	3.510000e+00
3.520000000000000e+00	5.667757e-01	3.520000e+00
3.530000000000000e+00	5.575324e-01	3.530000e+00
3.540000000000000e+00	5.484033e-01	3.540000e+00
3.550000000000000e+00	5.393868e-01	3.550000e+00
3.560000000000000e+00	5.304814e-01	3.560000e+00
3.570000000000000e+00	5.216855e-01	3.570000e+00
3.580000000000000e+00	5.129979e-01	3.580000e+00
3.590000000000000e+00	5.044169e-01	3.590000e+00
3.600000000000000e+00	4.959413e-01	3.600000e+00
3.610000000000000e+00	4.875696e-01	3.610000e+00
3.620000000000000e+00	4.793006e-01	3.620000e+00
3.630000000000000e+00	4.711331e-01	3.630000e+00
3.640000000000000e+00	4.630657e-01	3.640000e+00
3.650000000000000e+00	4.550972e-01	3.650000e+00
3.660000000000000e+00	4.472265e-01	3.660000e+00
3.670000000000000e+00	4.394523e-01	3.670000e+00
3.680000000000000e+00	4.317735e-01	3.680000e+00
3.690000000000000e+00	4.241890e-01	3.690000e+00
3.700000000000000e+00	4.166977e-01	3.700000e+00
3.710000000000000e+00	4.092985e-01	3.710000e+00
3.720000000000000e+00	4.019905e-01	3.720000e+00
3.730000000000000e+00	3.947725e-01	3.730000e+00
3.740000000000000e+00	3.876436e-01	3.740000e+00
3.750000000000000e+00	3.806028e-01	3.750000e+00
3.760000000000000e+00	3.736491e-01	3.760000e+00
3.770000000000000e+00	3.667816e-01	3.770000e+00
3.780000000000000e+00	3.599994e-01	3.780000e+00
3.790000000000000e+00	3.533016e-01	3.790000e+00
3.800000000000000e+00	3.466873e-01	3.800000e+00
3.810000000000000e+00	3.401557e-01	3.810000e+00
3.820000000000000e+00	3.337058e-01	3.820000e+00
3.830000000000000e+00	3.273369e-01	3.830000e+00
3.840000000000000e+00	3.210482e-01	3.840000e+00
3.850000000000000e+00	3.148388e-01	3.850000e+00
3.860000000000000e+00	3.087080e-01	3.860000e+00
3.870000000000000e+00	3.026551e-01	3.870000e+00
3.880000000000000e+00	2.966792e-01	3.880000e+00
3.890000000000000e+00	2.907797e-01	3.890000e+00
3.900000000000000e+00	2.849558e-01	3.900000e+00
3.910000000000000e+00	2.792068e-01	3.910000e+00
3.920000000000000e+00	2.735320e-01	3.920000e+00
3.930000000000000e+00	2.679308e-01	3.930000e+00
3.940000000000000e+00	2.624025e-01	3.940000e+00
3.950000000000000e+00	2.569464e-01	3.950000e+00
3.960000000000000e+00	2.515619e-01	3.960000e+00
3.970000000000000e+00	2.462483e-01	3.970000e+00
3.980000000000000e+00	2.410051e-01	3.980000e+00
3.990000000000000e+00	2.358316e-01	3.990000e+00
4.000000000000000e+00	2.307273e-01	4.000000e+00
4.010000000000000e+00	2.256915e-01	4.010000e+00
4.020000000000000e+00	2.207236e-01	4.020000e+00
4.030000000000000e+00	2.158232e-01	4.030000e+00
4.040000000000000e+00	2.109897e-01	4.040000e+00
4.050000000000000e+00	2.062224e-01	4.050000e+00
4.060000000000000e+00	2.015210e-01	4.060000e+00
4.070000000000000e+00	1.968848e-01	4.070000e+00
4.080000000000000e+00	1.923133e-01	4.080000e+00
4.090000000000000e+00	1.878061e-01	4.090000e+00
4.100000000000000e+00	1.833626e-01	4.100000e+00
4.110000000000000e+00	1.789823e-01	4.110000e+00
4.120000000000000e+00	1.746649e-01	4.120000e+00
4.130000000000000e+00	1.704097e-01	4.130000e+00
4.140000000000000e+00	1.662163e-01	4.140000e+00
4.150000000000000e+00	1.620843e-01	4.150000e+00
4.160000000000000e+00	1.580132e-01	4.160000e+00
4.170000000000000e+00	1.540026e-01	4.170000e+00
4.180000000000000e+00	1.500520e-01	4.180000e+00
4.190000000000000e+00	1.461610e-01	4.190000e+00
4.200000000000000e+00	1.423293e-01	4.200000e+00
4.210000000000000e+00	1.385563e-01	4.210000e+00
4.220000000000000e+00	1.348417e-01	4.220000e+00
4.230000000000000e+00	1.311850e-01	4.230000e+00
4.240000000000000e+00	1.275860e-01	4.240000e+00
4.250000000000000e+00	1.240441e-01	4.250000e+00
4.260000000000000e+00	1.205590e-01	4.260000e+00
4.270000000000000e+00	1.171304e-01	4.270000e+00
4.280000000000000e+00	1.137578e-01	4.280000e+00
4.290000000000000e+00	1.104410e-01	4.290000e+00
4.300000000000000e+00	1.071795e-01	4.300000e+00
4.310000000000000e+00	1.039729e-01	4.310000e+00
4.320000000000000e+00	1.008211e-01	4.320000e+00
4.330000000000000e+00	9.772351e-02	4.330000e+00
4.340000000000000e+00	9.467993e-02	4.340000e+00
4.350000000000001e+00	9.168998e-02	4.350000e+00
4.360000000000000e+00	8.875335e-02	4.360000e+00
4.370000000000000e+00	8.586972e-02	4.370000e+00
4.380000000000000e+00	8.303877e-02	4.380000e+00
4.390000000000000e+00	8.026019e-02	4.390000e+00
4.400000000000000e+00	7.753369e-02	4.400000e+00
4.410000000000000e+00	7.485895e-02	4.410000e+00
4.420000000000000e+00	7.223568e-02	4.420000e+00
4.430000000000000e+00	6.966359e-02	4.430000e+00
4.440000000000000e+00	6.714240e-02	4.440000e+00
4.450000000000000e+00	6.467181e-02	4.450000e+00
4.460000000000000e+00	6.225156e-02	4.460000e+00
4.470000000000000e+00	5.988136e-02	4.470000e+00
4.480000000000000e+00	5.756096e-02	4.480000e+00
4.490000000000000e+00	5.529007e-02	4.490000e+00
4.500000000000000e+00	5.306844e-02	4.500000e+00
4.510000000000000e+00	5.089582e-02	4.510000e+00
4.520000000000000e+00	4.877195e-02	4.520000e+00
4.530000000000000e+00	4.669657e-02	4.530000e+00
4.540000000000000e+00	4.466945e-02	4.540000e+00
4.550000000000000e+00	4.269033e-02	4.550000e+00
4.560000000000000e+00	4.075898e-02	4.560000e+00
4.570000000000000e+00	3.887517e-02	4.570000e+00
4.580000000000000e+00	3.703866e-02	4.580000e+00
4.590000000000000e+00	3.524922e-02	4.590000e+00
4.600000000000001e+00	3.350663e-02	4.600000e+00
4.610000000000000e+00	3.181066e-02	4.610000e+00
4.620000000000000e+00	3.016110e-02	4.620000e+00
4.630000000000000e+00	2.855774e-02	4.630000e+00
4.640000000000000e+00	2.700035e-02	4.640000e+00
4.650000000000000e+00	2.548873e-02	4.650000e+00
4.660000000000000e+00	2.402268e-02	4.660000e+00
4.670000000000000e+00	2.260199e-02	4.670000e+00
4.680000000000000e+00	2.122646e-02	4.680000e+00
4.690000000000000e+00	1.989589e-02	4.690000e+00
4.700000000000000e+00	1.861010e-02	4.700000e+00
4.710000000000000e+00	1.736888e-02	4.710000e+00
4.720000000000000e+00	1.617206e-02	4.720000e+00
4.730000000000000e+00	1.501944e-02	4.730000e+00
4.740000000000000e+00	1.391084e-02	4.740000e+00
4.750000000000000e+00	1.284609e-02	4.750000e+00
4.760000000000000e+00	1.182500e-02	4.760000e+00
4.770000000000000e+00	1.084740e-02	4.770000e+00
4.780000000000000e+00	9.913115e-03	4.780000e+00
4.790000000000000e+00	9.021981e-03	4.790000e+00
4.800000000000000e+00	8.173828e-03	4.800000e+00
4.810000000000000e+00	7.368491e-03	4.810000e+00
4.820000000000000e+00	6.605809e-03	4.820000e+00
4.830000000000000e+00	5.885621e-03	4.830000e+00
4.840000000000000e+00	5.207770e-03	4.840000e+00
4.850000000000001e+00	4.572100e-03	4.850000e+00
4.860000000000000e+00	3.978461e-03	4.860000e+00
4.870000000000000e+00	3.426700e-03	4.870000e+00
4.880000000000000e+00	2.916671e-03	4.880000e+00
4.890000000000000e+00	2.448226e-03	4.890000e+00
4.900000000000000e+00	2.021223e-03	4.900000e+00
4.910000000000000e+00	1.635520e-03	4.910000e+00
4.920000000000000e+00	1.290977e-03	4.920000e+00
4.930000000000000e+00	9.874582e-04	4.930000e+00
4.940000000000000e+00	7.248278e-04	4.940000e+00
4.950000000000000e+00	5.029528e-04	4.950000e+00
4.960000000000000e+00	3.217025e-04	4.960000e+00
4.970000000000000e+00	1.809480e-04	4.970000e+00
4.980000000000000e+00	8.056232e-05	4.980000e+00
4.990000000000000e+00	2.042072e-05	4.990000e+00
5.000000000000000e+00	4.002390e-07	5.000000e+00
