time	V(a)	V(b)	V(out)	I(V1)
8.848828124999979e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
8.897656249999979e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
8.946484374999978e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
8.995312499999978e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
9.044140624999977e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
9.092968749999977e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
9.141796874999976e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
9.190624999999976e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
9.239453124999975e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
9.288281249999975e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
9.337109374999974e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
9.385937499999974e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
9.434765624999973e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
9.483593749999973e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
9.532421874999973e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
9.581249999999972e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
9.630078124999972e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
9.678906249999971e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
9.727734374999971e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
9.776562499999970e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
9.825390624999970e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
9.874218749999969e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
9.923046874999969e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
9.971874999999968e-09	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
1.000000000000000e-08	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
1.000488281250000e-08	2.441406e-01	0.000000e+00	4.987772e+00	-5.960664e-07
1.001464843750000e-08	7.324219e-01	0.000000e+00	4.882744e+00	-5.364438e-06
1.003417968750000e-08	1.708984e+00	0.000000e+00	4.186198e+00	-2.920629e-05
1.003906250000000e-08	1.953125e+00	0.000000e+00	3.821479e+00	-3.814699e-05
1.004882812500000e-08	2.441406e+00	0.000000e+00	2.168440e+00	-5.886031e-05
1.006835937500000e-08	3.417969e+00	0.000000e+00	3.881689e-01	-2.502824e-05
1.007231445312500e-08	3.615723e+00	0.000000e+00	2.754684e-01	-1.916225e-05
1.008022460937500e-08	4.011230e+00	0.000000e+00	1.237758e-01	-9.776669e-06
1.009604492187500e-08	4.802246e+00	0.000000e+00	4.073630e-03	-3.910855e-07
1.009653930664062e-08	4.826965e+00	0.000000e+00	3.101835e-03	-2.994295e-07
1.009752807617187e-08	4.876404e+00	0.000000e+00	1.566756e-03	-1.527798e-07
1.009950561523437e-08	4.975281e+00	0.000000e+00	6.111698e-05	-6.130363e-09
1.010000000000000e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.010000549316406e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.010001647949219e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.010003845214844e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.010008239746094e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.010017028808594e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.010034606933594e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.010069763183594e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.010140075683594e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.010280700683594e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.010561950683594e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.011124450683594e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.012249450683594e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.014499450683594e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.018999450683595e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.023882263183594e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.028765075683594e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.033647888183594e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.038530700683594e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.043413513183594e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.048296325683594e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.053179138183594e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.058061950683594e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.062944763183594e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.067827575683594e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.072710388183594e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.077593200683594e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.082476013183594e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.087358825683594e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.092241638183594e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.097124450683594e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.102007263183594e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
