Vin	V(vin)	V(vout)
4.670000000000000e+00	4.670000e+00	2.101175e-08
4.680000000000000e+00	4.680000e+00	2.095896e-08
4.690000000000000e+00	4.690000e+00	2.090643e-08
4.700000000000000e+00	4.700000e+00	2.085417e-08
4.710000000000000e+00	4.710000e+00	2.080216e-08
4.720000000000000e+00	4.720000e+00	2.075041e-08
4.730000000000000e+00	4.730000e+00	2.069893e-08
4.740000000000000e+00	4.740000e+00	2.064769e-08
4.750000000000000e+00	4.750000e+00	2.059671e-08
4.760000000000000e+00	4.760000e+00	2.054598e-08
4.770000000000000e+00	4.770000e+00	2.049550e-08
4.780000000000000e+00	4.780000e+00	2.044526e-08
4.790000000000000e+00	4.790000e+00	2.039527e-08
4.800000000000000e+00	4.800000e+00	2.034553e-08
4.810000000000000e+00	4.810000e+00	2.029603e-08
4.820000000000000e+00	4.820000e+00	2.024676e-08
4.830000000000000e+00	4.830000e+00	2.019774e-08
4.840000000000000e+00	4.840000e+00	2.014895e-08
4.850000000000001e+00	4.850000e+00	2.010040e-08
4.860000000000000e+00	4.860000e+00	2.005208e-08
4.870000000000000e+00	4.870000e+00	2.000400e-08
4.880000000000000e+00	4.880000e+00	1.995614e-08
4.890000000000000e+00	4.890000e+00	1.990851e-08
4.900000000000000e+00	4.900000e+00	1.986111e-08
4.910000000000000e+00	4.910000e+00	1.981394e-08
4.920000000000000e+00	4.920000e+00	1.976698e-08
4.930000000000000e+00	4.930000e+00	1.972025e-08
4.940000000000000e+00	4.940000e+00	1.967374e-08
4.950000000000000e+00	4.950000e+00	1.962745e-08
4.960000000000000e+00	4.960000e+00	1.958138e-08
4.970000000000000e+00	4.970000e+00	1.953552e-08
4.980000000000000e+00	4.980000e+00	1.948987e-08
4.990000000000000e+00	4.990000e+00	1.944444e-08
5.000000000000000e+00	5.000000e+00	1.939923e-08
